,ds,y
981,2025-09-13,0
982,2025-09-14,0
983,2025-09-15,0
984,2025-09-16,0
985,2025-09-17,0
986,2025-09-18,0
987,2025-09-19,0
988,2025-09-20,0
989,2025-09-21,0
990,2025-09-22,0
991,2025-09-23,0
992,2025-09-24,0
993,2025-09-25,0
994,2025-09-26,0
995,2025-09-27,0
996,2025-09-28,0
997,2025-09-29,0
998,2025-09-30,0
999,2025-10-01,6853
1000,2025-10-02,10046
1001,2025-10-03,11907
1002,2025-10-04,13193
1003,2025-10-05,0
1004,2025-10-06,0
1005,2025-10-07,0
1006,2025-10-08,0
1007,2025-10-09,0
1008,2025-10-10,0
1009,2025-10-11,0
1010,2025-10-12,0
1011,2025-10-13,0
1012,2025-10-14,0
1013,2025-10-15,0
1014,2025-10-16,0
1015,2025-10-17,0
1016,2025-10-18,0
1017,2025-10-19,0
1018,2025-10-20,0
1019,2025-10-21,0
1020,2025-10-22,0
1021,2025-10-23,0
1022,2025-10-24,0
1023,2025-10-25,0
1024,2025-10-26,0
1025,2025-10-27,0
1026,2025-10-28,0
1027,2025-10-29,0
1028,2025-10-30,0
1029,2025-10-31,0
1030,2025-11-01,4626
1031,2025-11-02,12027
1032,2025-11-03,9802
1033,2025-11-04,13150
1034,2025-11-05,0
1035,2025-11-06,0
1036,2025-11-07,0
1037,2025-11-08,0
1038,2025-11-09,0
1039,2025-11-10,0
1040,2025-11-11,0
1041,2025-11-12,0
1042,2025-11-13,0
1043,2025-11-14,0
1044,2025-11-15,0
1045,2025-11-16,0
1046,2025-11-17,0
1047,2025-11-18,0
1048,2025-11-19,0
1049,2025-11-20,0
1050,2025-11-21,0
1051,2025-11-22,0
1052,2025-11-23,0
1053,2025-11-24,0
1054,2025-11-25,0
1055,2025-11-26,0
1056,2025-11-27,0
1057,2025-11-28,0
1058,2025-11-29,0
1059,2025-11-30,0
1060,2025-12-01,9356
1061,2025-12-02,12254
1062,2025-12-03,9999
1063,2025-12-04,12069
